AV-01	pink scarf	Arsy - AV	$3.00	In stock
AV-07	B&W scarf	Arsy - AV	$4.00	In stock
AV-03	checkered sweater	Arsy - AV	$5.00	In stock
AV-04	adidas pink shirt	Arsy - AV	$5.00	In stock
AV-06	black jacket	Arsy - AV	$5.00	In stock
AV-02	grey sweater	Arsy - AV	$8.00	In stock
AV-05	brown overalls	Arsy - AV	$8.00	In stock
